# 予測X・Y・Z の標本を再現するための種。
# 人材サービス総合サイトの詳細検索（全国・四職種）で得た許可番号の一覧。
# 届出内容の値は含まない。値は fetch_jinzai_detail.py で取得し直すこと。
# 相異なる許可番号 1130 / 企業と職種の組 1402
許可・届出受理番号	職種
01-ム-190001	4.看護師、准看護師
01-ム-190001	7.施設介護の職業
01-ム-190001	9.保育士
01-ム-300002	7.施設介護の職業
01-ム-300034	1.医師
01-ユ-010024	7.施設介護の職業
01-ユ-010037	4.看護師、准看護師
01-ユ-010037	7.施設介護の職業
01-ユ-010052	1.医師
01-ユ-010093	7.施設介護の職業
01-ユ-300007	4.看護師、准看護師
01-ユ-300146	4.看護師、准看護師
01-ユ-300219	1.医師
01-ユ-300219	4.看護師、准看護師
01-ユ-300230	4.看護師、准看護師
01-ユ-300279	4.看護師、准看護師
01-ユ-300279	7.施設介護の職業
01-ユ-300343	7.施設介護の職業
01-ユ-300369	4.看護師、准看護師
01-ユ-300369	7.施設介護の職業
01-ユ-300373	1.医師
01-ユ-300373	4.看護師、准看護師
01-ユ-300396	4.看護師、准看護師
01-ユ-300397	7.施設介護の職業
01-ユ-300440	1.医師
01-ユ-300440	4.看護師、准看護師
01-ユ-300451	7.施設介護の職業
01-ユ-300493	4.看護師、准看護師
01-ユ-300511	9.保育士
01-ユ-300535	1.医師
01-ユ-300535	4.看護師、准看護師
01-ユ-300574	4.看護師、准看護師
01-ユ-300585	9.保育士
01-ユ-300598	4.看護師、准看護師
01-ユ-300598	7.施設介護の職業
01-ユ-300598	9.保育士
01-ユ-300600	9.保育士
01-ユ-300636	4.看護師、准看護師
01-ユ-300646	7.施設介護の職業
01-ユ-300692	1.医師
01-ユ-300692	4.看護師、准看護師
01-ユ-300702	7.施設介護の職業
01-ユ-300702	9.保育士
01-ユ-300707	1.医師
01-ユ-300707	4.看護師、准看護師
01-ユ-300769	4.看護師、准看護師
01-ユ-300769	7.施設介護の職業
01-ユ-300781	4.看護師、准看護師
01-ユ-300790	1.医師
01-ユ-300797	7.施設介護の職業
01-ユ-300805	9.保育士
01-ユ-300810	4.看護師、准看護師
01-ユ-300810	7.施設介護の職業
01-ユ-300810	9.保育士
01-ユ-300811	7.施設介護の職業
01-ユ-300827	4.看護師、准看護師
01-ユ-300827	7.施設介護の職業
01-ユ-300856	1.医師
01-ユ-300856	4.看護師、准看護師
01-ユ-300856	7.施設介護の職業
01-ユ-300881	7.施設介護の職業
02-ユ-020011	7.施設介護の職業
02-ユ-300018	4.看護師、准看護師
02-ユ-300072	7.施設介護の職業
03-ユ-010004	4.看護師、准看護師
03-ユ-300021	4.看護師、准看護師
